City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
267,Praia Da Vitoria,PT,288.29,scattered clouds,38.7333,-27.0667,Hotel Branco I
268,Vila Franca Do Campo,PT,287.38,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
269,Astoria,US,279.23,broken clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
270,Nata,PA,297.85,broken clouds,8.3333,-80.5167,Rey David
273,Port Blair,IN,300.17,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
274,Kattivakkam,IN,302.2,scattered clouds,13.2167,80.3167,Euronova Freezer
275,Zhireken,RU,256.51,few clouds,52.8249,117.3076,Gostinitsa
276,Saint-Georges,GD,298.97,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
277,Waitati,NZ,291.37,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
278,La Romana,DO,295.0,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
280,Miri,MY,303.23,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
281,Hervey Bay,AU,305.21,broken clouds,-25.2986,152.8535,Shelly Bay Resort
282,Verkh-Usugli,RU,257.23,scattered clouds,52.7,115.1667,"Gostinitsa ""Sever"""
283,Ambilobe,MG,299.3,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
284,Axim,GH,297.88,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
285,Jalu,LY,283.17,clear sky,29.0331,21.5482,صاحبة الفخامة
286,Grindavik,IS,273.41,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
287,Katobu,ID,305.77,overcast clouds,-4.9408,122.5276,La Ode Husein
288,Necochea,AR,286.5,clear sky,-38.5473,-58.7368,dyd -mar Hotel
289,Pringsewu,ID,304.36,overcast clouds,-5.3582,104.9744,Urban Style by Front One
290,Nome,US,264.19,clear sky,64.5011,-165.4064,Dredge 7 Inn
292,Karangampel,ID,303.6,broken clouds,-6.4622,108.4519,ROOFTOP WAG ALL
293,Shilong,CN,284.31,light rain,23.1123,113.8425,Cinese Hotel Dongguan Shijie
294,Curaca,BR,297.54,few clouds,-8.9903,-39.9094,Hotel Recanto Campestre
295,Honiara,SB,301.88,broken clouds,-9.4333,159.95,Heritage Park Hotel
297,Baruun-Urt,MN,256.55,few clouds,46.6806,113.2792,Ахмадын амралт сувилал
298,San Cristobal,VE,293.25,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
299,Sao Raimundo Nonato,BR,296.89,scattered clouds,-9.0153,-42.6994,Real Hotel
300,Mayo,US,272.52,clear sky,38.8876,-76.5119,Resorts Resource Group International
301,Asyut,EG,280.25,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
302,Guerrero Negro,MX,288.71,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
303,Alice Springs,AU,301.9,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
305,Ambulu,ID,303.89,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
306,Kondinskoye,RU,251.7,overcast clouds,59.6481,67.41,Gostinitsa
307,Borovoy,RU,261.75,light shower snow,55.4333,86.0833,Tsimus
308,Misratah,LY,285.47,overcast clouds,32.3754,15.0925,Almasa Hotel
309,Pedernales,DO,296.83,few clouds,18.0384,-71.744,Hotel Costa Marina
310,Krasnoselkup,RU,259.28,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
311,Korbach,DE,275.61,overcast clouds,51.2756,8.873,Hotel Goldflair am Rathaus
312,Moengo,SR,295.15,broken clouds,5.6167,-54.4,Masanga
313,Nanortalik,GL,267.71,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
314,Komsomolskiy,UZ,273.55,mist,40.4272,71.7189,Ikathouse
315,Zhangye,CN,269.95,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
316,Bandar-E Anzali,IR,281.21,overcast clouds,37.4727,49.4622,هتل بیاچ
317,Mount Gambier,AU,293.1,broken clouds,-37.8333,140.7667,The Commodore
318,Aswan,EG,282.94,clear sky,24.0934,32.907,Nuba Nile
319,Namibe,AO,294.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
320,Mattru,SL,294.76,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
321,Kurchum,KZ,255.52,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
322,Saldanha,ZA,289.18,few clouds,-33.0117,17.9442,Blue Bay Lodge
323,Fairview,US,269.95,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
324,Nelson Bay,AU,307.46,few clouds,-32.7167,152.15,Mantra Nelson Bay
325,Channel-Port Aux Basques,CA,268.04,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
326,Bambous Virieux,MU,301.05,light rain,-20.3428,57.7575,Casa Tia Villa
327,Semenyih,MY,305.01,overcast clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
328,Biak,ID,303.19,broken clouds,-0.9131,122.8766,Penginapan Kim
329,Vila,PT,277.78,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
330,Tomatlan,MX,290.83,clear sky,19.9333,-105.25,El Salvial
331,Yangjiang,CN,286.45,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
332,Kaeo,NZ,295.55,overcast clouds,-35.1,173.7833,Bushido Lodge
334,Vao,NC,298.74,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
336,Cooma,AU,302.02,broken clouds,-36.2333,149.1333,High Country Motel
337,Dongkan,CN,277.8,scattered clouds,33.9997,119.8308,Triumphal Resort
338,Luanda,AO,298.15,few clouds,-8.8368,13.2343,Hotel Fórum
339,Luga,RU,267.34,light snow,58.7372,29.8453,U Lysoy Gory Hotel
341,Arucas,ES,291.58,overcast clouds,28.1198,-15.5233,Hotel Melva Suite
343,Phan Thiet,VN,304.0,few clouds,10.9333,108.1,Hotel Saigon-PT
344,Sturgis,US,270.77,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
345,Idaho Falls,US,266.46,clear sky,43.4666,-112.0341,Hilton Garden Inn Idaho Falls
